HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = Inf
